Year,Country,EIU
2020,Canada,9.24
2019,Canada,9.22
2018,Canada,9.15
2017,Canada,9.15
2016,Canada,9.15
2015,Canada,9.08
2014,Canada,9.08
2013,Canada,9.08
2012,Canada,9.08
2011,Canada,9.08
2010,Canada,9.08
2008,Canada,9.07
2006,Canada,9.07
2020,France,7.99
2019,France,8.12
2018,France,7.8
2017,France,7.8
2016,France,7.92
2015,France,7.92
2014,France,8.04
2013,France,7.92
2012,France,7.88
2011,France,7.77
2010,France,7.77
2008,France,8.07
2006,France,8.07
2020,Germany,8.67
2019,Germany,8.68
2018,Germany,8.68
2017,Germany,8.61
2016,Germany,8.63
2015,Germany,8.64
2014,Germany,8.64
2013,Germany,8.31
2012,Germany,8.34
2011,Germany,8.34
2010,Germany,8.38
2008,Germany,8.82
2006,Germany,8.82
2020,Italy,7.74
2019,Italy,7.52
2018,Italy,7.71
2017,Italy,7.98
2016,Italy,7.98
2015,Italy,7.98
2014,Italy,7.85
2013,Italy,7.85
2012,Italy,7.74
2011,Italy,7.74
2010,Italy,7.83
2008,Italy,7.98
2006,Italy,7.73
2020,Spain,8.12
2019,Spain,8.18
2018,Spain,8.08
2017,Spain,8.08
2016,Spain,8.3
2015,Spain,8.3
2014,Spain,8.05
2013,Spain,8.02
2012,Spain,8.02
2011,Spain,8.02
2010,Spain,8.16
2008,Spain,8.45
2006,Spain,8.34
2020,Turkey,4.48
2019,Turkey,4.09
2018,Turkey,4.37
2017,Turkey,4.88
2016,Turkey,5.04
2015,Turkey,5.12
2014,Turkey,5.12
2013,Turkey,5.63
2012,Turkey,5.76
2011,Turkey,5.73
2010,Turkey,5.73
2008,Turkey,5.69
2006,Turkey,5.7
2020,Poland,6.85
2019,Poland,6.62
2018,Poland,6.67
2017,Poland,6.67
2016,Poland,6.83
2015,Poland,7.09
2014,Poland,7.47
2013,Poland,7.12
2012,Poland,7.12
2011,Poland,7.12
2010,Poland,7.05
2008,Poland,7.3
2006,Poland,7.3
2020,Ukraine,5.81
2019,Ukraine,5.9
2018,Ukraine,5.69
2017,Ukraine,5.69
2016,Ukraine,5.7
2015,Ukraine,5.7
2014,Ukraine,5.42
2013,Ukraine,5.84
2012,Ukraine,5.91
2011,Ukraine,5.94
2010,Ukraine,6.3
2008,Ukraine,6.94
2006,Ukraine,6.94
2020,Uzbekistan,2.12
2019,Uzbekistan,2.01
2018,Uzbekistan,2.01
2017,Uzbekistan,1.95
2016,Uzbekistan,1.95
2015,Uzbekistan,1.95
2014,Uzbekistan,2.45
2013,Uzbekistan,1.72
2012,Uzbekistan,1.72
2011,Uzbekistan,1.74
2010,Uzbekistan,1.74
2008,Uzbekistan,1.74
2006,Uzbekistan,1.85
2020,Argentina,6.95
2019,Argentina,7.02
2018,Argentina,7.02
2017,Argentina,6.96
2016,Argentina,6.96
2015,Argentina,7.02
2014,Argentina,6.84
2013,Argentina,6.84
2012,Argentina,6.84
2011,Argentina,6.84
